"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Check if the app displays a “Training Center” field","Lida Hovakimyan","4/10/2023 12:26 PM","","","High","","Check the presence of the required fields/buttons","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 6:34 AM"
"C2","Check if the app displays a “Training Name” field","Lida Hovakimyan","4/10/2023 12:26 PM","","","High","","Check the presence of the required fields/buttons","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 6:35 AM"
"C3","Check if the app displays an “Insert new row” field","Lida Hovakimyan","4/10/2023 12:27 PM","","","Medium","","Check the presence of the required fields/buttons","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 6:50 AM"
"C4","Check if the training insertion row has the mandatory “Id” and “Name” fields","Lida Hovakimyan","4/10/2023 12:27 PM","","","Medium","","Check the presence of the required fields/buttons","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 6:51 AM"
"C5","Check if the app displays a “Result” field","Lida Hovakimyan","4/10/2023 12:27 PM","","","High","","Check the presence of the required fields/buttons","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 6:52 AM"
"C6","Check if the “Result” field displays “Start date” and “End date” fields","Lida Hovakimyan","4/10/2023 12:28 PM","","","Medium","","Check the presence of the required fields/buttons","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 6:53 AM"
"C7","Check if the app has a “Search” button","Lida Hovakimyan","4/10/2023 12:28 PM","","","High","","Check the presence of the required fields/buttons","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 6:54 AM"
"C8","Check if the app has a “Reset” button","Lida Hovakimyan","4/10/2023 12:28 PM","","","Low","","Check the presence of the required fields/buttons","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 7:01 AM"
"C9","Check if the app has a “Insert new row” button","Lida Hovakimyan","4/10/2023 12:28 PM","","","Medium","","Check the presence of the required fields/buttons","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 7:02 AM"
"C10","Check if the app has a “Delete” button","Lida Hovakimyan","4/10/2023 12:28 PM","","","Medium","","Check the presence of the required fields/buttons","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 7:03 AM"
"C11","Check if the app has dropdowns for the “Training center” and “Training name” fields","Lida Hovakimyan","4/10/2023 12:28 PM","","","High","","Check the presence of the required fields/buttons","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 7:04 AM"
"C12","Check if the upper left “Training Name” searchable dropdown allows manual data entry","Lida Hovakimyan","4/10/2023 12:29 PM","","","Medium","","Check the functionality of the fields","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:15 AM"
"C13","Check if the “Insert new row” fields allow data entry","Lida Hovakimyan","4/10/2023 12:29 PM","","","Medium","","Check the functionality of the fields","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:11 AM"
"C14","Check if the “Insert new row” field automatically provides an ID when creating a new training","Lida Hovakimyan","4/10/2023 12:29 PM","","","High","","Check the functionality of the fields","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:16 AM"
"C16","Check if the “Result” field demonstrates the searched training","Lida Hovakimyan","4/10/2023 12:29 PM","","","High","","Check the functionality of the fields","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:20 AM"
"C17","Check if the “Result” field demonstrates the newly created trainings","Lida Hovakimyan","4/10/2023 12:30 PM","","","High","","Check the functionality of the fields","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:21 AM"
"C18","Check if the “Search” button allows the search of an existing training","Lida Hovakimyan","4/10/2023 12:32 PM","","","High","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:34 AM"
"C19","Check if the “Search” button allows the search of a non-existing training","Lida Hovakimyan","4/10/2023 12:32 PM","","","Medium","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:36 AM"
"C20","Check if the “Search” button allows the search of empty spaces","Lida Hovakimyan","4/10/2023 12:32 PM","","","Low","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:37 AM"
"C21","Check if the “Reset” button returns the page to its default state","Lida Hovakimyan","4/10/2023 12:33 PM","","","Medium","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:44 AM"
"C22","Check if the “Insert new row” button is clickable when filling in valid data","Lida Hovakimyan","4/10/2023 12:33 PM","","","Medium","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:46 AM"
"C23","Check if the “Insert new row” button is clickable when filling in invalid data","Lida Hovakimyan","4/10/2023 12:33 PM","","","Medium","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:47 AM"
"C24","Check if the “Insert new row” button is clickable when filling invalid data in some fields","Lida Hovakimyan","4/10/2023 12:33 PM","","","Medium","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:48 AM"
"C25","Check if the “Insert new row” button is clickable when leaving some fields empty","Lida Hovakimyan","4/10/2023 12:33 PM","","","Medium","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:57 AM"
"C26","Check if the “Insert new row” button is clickable when leaving all the spaces empty","Lida Hovakimyan","4/10/2023 12:33 PM","","","Medium","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 7:58 AM"
"C27","Check if the “Delete” button allows deleting a closed training","Lida Hovakimyan","4/10/2023 12:34 PM","","","Medium","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 8:01 AM"
"C28","Check if the “Delete” button allows deleting an ongoing training","Lida Hovakimyan","4/10/2023 12:34 PM","","","High","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 8:01 AM"
"C29","Check if the upper left “Training Center” dropdown works","Lida Hovakimyan","4/10/2023 12:34 PM","","","Medium","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 8:03 AM"
"C30","Check if the “Training Center” dropdown in the “Insert new row” works","Lida Hovakimyan","4/10/2023 12:34 PM","","","Medium","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 8:08 AM"
"C31","Check if the “Training Name” dropdown works","Lida Hovakimyan","4/10/2023 12:34 PM","","","Medium","","Check the functionality of the buttons","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 8:09 AM"
"C32","Check if the app allows creating a course as a “Guest User”","Lida Hovakimyan","4/10/2023 12:35 PM","","","Medium","","Check the behaviour of the app through different roles","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 8:12 AM"
"C33","Check if the app allows creating a course as an “Admin”","Lida Hovakimyan","4/10/2023 12:35 PM","","","Medium","","Check the behaviour of the app through different roles","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 8:13 AM"
"C34","Check if the app allows deleting a course as a “Guest User”","Lida Hovakimyan","4/10/2023 12:35 PM","","","High","","Check the behaviour of the app through different roles","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 8:14 AM"
"C35","Check if the app allows deleting a course as a “Admin”","Lida Hovakimyan","4/10/2023 12:35 PM","","","Medium","","Check the behaviour of the app through different roles","0","","Master","S1","Functional","Lida Hovakimyan","4/11/2023 8:15 AM"
"C36","Check if there are spelling mistakes","Lida Hovakimyan","4/10/2023 12:35 PM","","","Low","","Check the UI of the app","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 8:16 AM"
"C37","Check if there are extra spaces or characters","Lida Hovakimyan","4/10/2023 12:36 PM","","","Low","","Check the UI of the app","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 8:17 AM"
"C38","Check if there are any missing spaces or characters","Lida Hovakimyan","4/10/2023 12:36 PM","","","Low","","Check the UI of the app","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 8:17 AM"
"C39","Check if the field names are fully demonstrated","Lida Hovakimyan","4/10/2023 12:36 PM","","","Low","","Check the UI of the app","0","","Master","S1","Other","Lida Hovakimyan","4/11/2023 8:19 AM"
