"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C40","Check if the """"Name"""" field accepts over 25 characters","Lida Hovakimyan","4/10/2023 12:42 PM","","","Low","","Check the """"Name"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:05 AM"
"C41","Check if the """"Name"""" field accepts names within 1-25 characters","Lida Hovakimyan","4/10/2023 12:42 PM","","","Medium","","Check the """"Name"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:05 AM"
"C42","Check if the """"Name"""" field accepts an empty space","Lida Hovakimyan","4/10/2023 12:42 PM","","","Medium","","Check the """"Name"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:05 AM"
"C43","Check if the """"Name"""" field accepts non-alphanumeric characters","Lida Hovakimyan","4/10/2023 12:43 PM","","","Medium","","Check the """"Name"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:05 AM"
"C44","Check if the  """"Email"""" field accepts invalid emails","Lida Hovakimyan","4/10/2023 12:43 PM","","","High","","Check the """"Email"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:05 AM"
"C45","Check if the  """"Email"""" field accepts valid email","Lida Hovakimyan","4/10/2023 12:43 PM","","","High","","Check the """"Email"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:06 AM"
"C46","Check if the  """"Email"""" field accepts non-unique email","Lida Hovakimyan","4/10/2023 12:43 PM","","","Medium","","Check the """"Email"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:06 AM"
"C47","Check if the  """"Email"""" field accepts emails differing from the noted format","Lida Hovakimyan","4/10/2023 12:44 PM","","","Medium","","Check the """"Email"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:06 AM"
"C49","Check if the  """"Email"""" field accepts an empty space","Lida Hovakimyan","4/10/2023 12:45 PM","","","High","","Check the """"Email"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:06 AM"
"C48","Check if the """"Email"""" field displays the noted error message","Lida Hovakimyan","4/10/2023 12:44 PM","","","Low","","Check the """"Email"""" field","0","","Master","S2","Functional","Lida Hovakimyan","4/11/2023 11:06 AM"
